STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic,Indicator,s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-11,,-2.5,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-12,,-2.6,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-01,,-1.1,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-02,,-0.8,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-03,,-1.5,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-04,,-2.1,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-05,,-6.1,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-06,,-6.7,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-07,,-9.0,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-08,,-8.0,,,,,
